Video Name,Video URL,Asset Type,Created At
"ChatGPT for Professionals","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ChatGPT_Intros/db5d4942eaf94e6e81569b7a4b7fd6cd.mp4","video","2026-06-30T05:48:14.331718"
"ChatGPT for Sales","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ChatGPT_Intros/0bf1b4af22fa42debd86567e4486651d.mp4","video","2026-06-30T05:48:04.004395"
"ChatGPT for Marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ChatGPT_Intros/61a5a32f23c040c9b119bfea405e072e.mp4","video","2026-06-30T05:47:53.417421"
"ChatGPT for Degree and MBA Graduate Productivity","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ChatGPT_Intros/bc7b7b37d6cf4c88af189253281e7cf7.mp4","video","2026-06-30T05:47:39.655721"
"ChatGPT for Business Workflow Automation","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ChatGPT_Intros/16623ffdba78443c87bd3ccf81ccc754.mp4","video","2026-06-30T05:47:20.680473"
"ChatGPT for Job and Career Planning","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ChatGPT_Intros/be505041d72b4e2f9431c84d4ff00d94.mp4","video","2026-06-30T05:47:05.196409"
"ChatGPT for Mini App Making","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ChatGPT_Intros/26af561f2c7d474db3cdfa8202ee7961.mp4","video","2026-06-30T05:46:48.626715"
"ChatGPT for Teaching","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ChatGPT_Intros/7f1b1f60fc324c3cba7c218bc1fece26.mp4","video","2026-06-30T05:46:36.806518"
"ChatGPT for Earnings","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ChatGPT_Intros/1ca0ad87eccd4d6b93f66e7580a7144c.mp4","video","2026-06-30T05:24:54.257180"
"Apollo AI for Sales","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Apollo_Intros/dc832d8ec8364c759a003249d9dce82b.mp4","video","2026-06-30T06:35:00.569595"
"Zapier For White Collar Executive AI","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Zapier_Intro/12e004e0bd44499a9e146005a2fb8bf9.mp4","video","2026-06-30T06:36:20.205916"
"Zapier For Earning Focused AI","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Zapier_Intro/e6868f99ae3647c884fbfea3d799acb6.mp4","video","2026-06-30T06:36:02.141044"
"Zapier For Degree and MBA Graduate Productivity","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Zapier_Intro/4fb3c0a0e6574899adda1e4858f201a8.mp4","video","2026-06-30T06:35:47.546213"
"Zapier For AI for Sales","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Zapier_Intro/794e0964388242578693376fcb4b9a5e.mp4","video","2026-06-30T06:35:30.925481"
"Zapier For AI for Mini App Making","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Zapier_Intro/4face03e5ed54efea6b5e5a66be841ab.mp4","video","2026-06-30T06:35:17.308619"
"Zapier for AI for Marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Zapier_Intro/a9f81fc43a584af187ee1ffe2d891386.mp4","video","2026-06-30T06:34:49.752549"
"Zapier For AI for Business Workflow Automation","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Zapier_Intro/4eb6c7c663ec4731858f23f8d3f1cd6d.mp4","video","2026-06-30T06:34:28.428055"
"Teal AI for Job and Career Planning","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Teal_Intro/5bc04f01a672418098a70bd4774c0621.mp4","video","2026-06-30T06:38:32.892483"
"Suno AI for Earning Focused AI","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Suno_Intro/db4c4a4098c849b1b3809adb43234e68.mp4","video","2026-06-30T06:39:40.325936"
"Suno AI for AI for Marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Suno_Intro/9f828647bec1484ca9ba5aaabfc6d170.mp4","video","2026-06-30T06:39:19.314212"
"Pomelli for White Collar Executive AI","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Pomelli_Intro/2ca81746c173406e9b83f47bcf1bed39.mp4","video","2026-06-30T06:51:37.225531"
"Pomelli for Degree and MBA Graduate Productivity","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Pomelli_Intro/ec1ce9246c2a4c759962444768cb97d1.mp4","video","2026-06-30T06:51:13.712554"
"Pomelli For AI for Marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Pomelli_Intro/d9676c211ec9480580348f8c2e1764b4.mp4","video","2026-06-30T06:50:57.633954"
"Pomelli for AI for business workflow automatin","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Pomelli_Intro/01bff382bfea480aad17d4a3207f5c22.mp4","video","2026-06-30T06:50:31.409838"
"Perplexity for Teachers","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/6d2e4d3c11e44ae38da22c45ca79f4db.mp4","video","2026-06-30T06:55:44.553087"
"Perplexity for Sales","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/c82184a092be4285bd480482b53bd118.mp4","video","2026-06-30T06:53:44.268436"
"Perplexity for Professionals","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/fd3b146811bf44e6911e05b25e54ee9c.mp4","video","2026-06-30T06:53:34.142675"
"Perplexity for Mini App Making","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/69d5475015494b59989ea9a445d5f8d2.mp4","video","2026-06-30T06:53:22.629439"
